"","target_seqname","peptide_id","0","1","2","3","gene","IC_cluster","Pre_CTL_Count","Post_CTL_Count","max","name","value"
"1","gi|21166380|ref|NP_620060.1|_neurexin-2-beta_isoform_alpha-2_precursor_[Homo_sapiens]_fragment_4","NRXN2_428754",0,2.38095238095238,7.14285714285714,76.1904761904762,"NRXN2","Non-IC Cluster",NA,NA,9,"post_MS_autoAbs",3.62903225806452
"2","gi|21166380|ref|NP_620060.1|_neurexin-2-beta_isoform_alpha-2_precursor_[Homo_sapiens]_fragment_4","NRXN2_428754",0,2.38095238095238,7.14285714285714,76.1904761904762,"NRXN2","Non-IC Cluster",NA,NA,9,"pre_MS_autoAbs",2.8
"3","gi|578816122|ref|XP_006716684.1|_PREDICTED:_transcription_initiation_factor_TFIID_subunit_2_isoform_X1_[Homo_sapiens]_fragment_47","TAF2_626658",0,0,4.76190476190476,78.5714285714286,"TAF2","Non-IC Cluster",NA,NA,8,"post_MS_autoAbs",3.2258064516129
"4","gi|578816122|ref|XP_006716684.1|_PREDICTED:_transcription_initiation_factor_TFIID_subunit_2_isoform_X1_[Homo_sapiens]_fragment_47","TAF2_626658",0,0,4.76190476190476,78.5714285714286,"TAF2","Non-IC Cluster",NA,NA,8,"pre_MS_autoAbs",2.8
"5","gi|32401437|ref|NP_861453.1|_testis-specific_H1_histone_[Homo_sapiens]_fragment_3","H1FNT_366975",0,0,0,88.0952380952381,"H1FNT","Non-IC Cluster",NA,NA,7,"post_MS_autoAbs",2.82258064516129
"6","gi|32401437|ref|NP_861453.1|_testis-specific_H1_histone_[Homo_sapiens]_fragment_3","H1FNT_366975",0,0,0,88.0952380952381,"H1FNT","Non-IC Cluster",NA,NA,7,"pre_MS_autoAbs",1.6
"7","gi|526118249|ref|NP_653299.4|_ankyrin_repeat_domain-containing_protein_35_isoform_1_[Homo_sapiens]_fragment_25","ANKRD35_495219",0,0,14.2857142857143,71.4285714285714,"ANKRD35","Non-IC Cluster",NA,NA,7,"post_MS_autoAbs",2.82258064516129
"8","gi|526118249|ref|NP_653299.4|_ankyrin_repeat_domain-containing_protein_35_isoform_1_[Homo_sapiens]_fragment_25","ANKRD35_495219",0,0,14.2857142857143,71.4285714285714,"ANKRD35","Non-IC Cluster",NA,NA,7,"pre_MS_autoAbs",2.4
"9","gi|38348336|ref|NP_940912.1|_inter-alpha-trypsin_inhibitor_heavy_chain_H6_precursor_[Homo_sapiens]_fragment_39","ITIH6_513562",0,0,11.9047619047619,73.8095238095238,"ITIH6","Non-IC Cluster",NA,NA,7,"post_MS_autoAbs",2.82258064516129
"10","gi|38348336|ref|NP_940912.1|_inter-alpha-trypsin_inhibitor_heavy_chain_H6_precursor_[Homo_sapiens]_fragment_39","ITIH6_513562",0,0,11.9047619047619,73.8095238095238,"ITIH6","Non-IC Cluster",NA,NA,7,"pre_MS_autoAbs",2
"11","gi|126517478|ref|NP_653252.3|_peroxidasin-like_protein_precursor_[Homo_sapiens]_fragment_24","PXDNL_293885",0,0,2.38095238095238,71.4285714285714,"PXDNL","Non-IC Cluster",NA,NA,7,"post_MS_autoAbs",2.82258064516129
"12","gi|126517478|ref|NP_653252.3|_peroxidasin-like_protein_precursor_[Homo_sapiens]_fragment_24","PXDNL_293885",0,0,2.38095238095238,71.4285714285714,"PXDNL","Non-IC Cluster",NA,NA,7,"pre_MS_autoAbs",2
"13","gi|578799643|ref|XP_006710909.1|_PREDICTED:_phosphatase_and_actin_regulator_4_isoform_X5_[Homo_sapiens]_fragment_11","PHACTR4_682453",0,0,11.9047619047619,69.0476190476191,"PHACTR4","Non-IC Cluster",NA,NA,6,"post_MS_autoAbs",2.41935483870968
"14","gi|578799643|ref|XP_006710909.1|_PREDICTED:_phosphatase_and_actin_regulator_4_isoform_X5_[Homo_sapiens]_fragment_11","PHACTR4_682453",0,0,11.9047619047619,69.0476190476191,"PHACTR4","Non-IC Cluster",NA,NA,6,"pre_MS_autoAbs",1.6
"15","gi|768000581|ref|XP_011525932.1|_PREDICTED:_ATP-binding_cassette_sub-family_A_member_7_isoform_X4_[Homo_sapiens]_fragment_71","ABCA7_1900",0,0,9.52380952380952,83.3333333333333,"ABCA7","Non-IC Cluster",NA,NA,7,"post_MS_autoAbs",2.41935483870968
"16","gi|768000581|ref|XP_011525932.1|_PREDICTED:_ATP-binding_cassette_sub-family_A_member_7_isoform_X4_[Homo_sapiens]_fragment_71","ABCA7_1900",0,0,9.52380952380952,83.3333333333333,"ABCA7","Non-IC Cluster",NA,NA,7,"pre_MS_autoAbs",2.8
"17","gi|578821434|ref|XP_006718622.1|_PREDICTED:_unconventional_myosin-VIIa_isoform_X6_[Homo_sapiens]_fragment_67","MYO7A_657421",0,0,7.14285714285714,61.9047619047619,"MYO7A","Non-IC Cluster",NA,NA,6,"post_MS_autoAbs",2.41935483870968
"18","gi|578821434|ref|XP_006718622.1|_PREDICTED:_unconventional_myosin-VIIa_isoform_X6_[Homo_sapiens]_fragment_67","MYO7A_657421",0,0,7.14285714285714,61.9047619047619,"MYO7A","Non-IC Cluster",NA,NA,6,"pre_MS_autoAbs",1.2
